schools,degrees,name,full_name,born,died,spouses,parents,sibling,offspring,second_cousin,cousin,occupation,employer,positions
"University of the South Pacific,University of Waikato",,Abdulla Jihad,Abdulla Jihad,1963-01-03,,Asima Hussein,,,3,,,,,"Vice President of the Maldives,Minister of Finance"
"American University of Beirut,Claremont Graduate University",,Abdulla Yameen Abdul Gayoom,Abdulla Yameen Abdul Gayoom,1959-05-21,,Fathimath Ibrahim,,,3,,,,,President of the Maldives
"American University of Beirut,Claremont Graduate University",,Abdulla Yameen Abdul Gayoom,Abdulla Yameen Abdul Gayoom,1959-05-21,,Fathimath Ibrahim,,,3,,,,,President of the Maldives
"Monash University,University of Plymouth",,Abdulla Maseeh Mohamed ,,,,,,,,,,,,17th Speaker of the People's Majlis[1]
,,Abdullah Bin Hamad Al-Attiyah,,1952 (age 69–70),,,,,,,,,,"Deputy Prime Minister of Qatar,Minister of Industry and Energy"
"Canberra College of Advanced Education,Fletcher School of Law and Diplomacy",Fletcher School of Law and Diplomacy,Abdulla Shahid,,1962-05-26,,,,,1 daughter and 2 sons,,,,,"President of the 76th UN General Assembly,Minister of Foreign Affairs,16th Speaker of the People's Majlis[1],Member of Parliament for Henveiru Uthuru constituency,Member of Parliament for Keyodhoo constituency,President’s Member to the Special Majlis,President’s Member to the People’s Majlis,Vaavu Atoll Member to the Special Majlis,Executive Secretary to the President"
"Lincoln University,Massachusetts Institute of Technology,Cornell University",,Abdulalim Abdullah Shabazz,,1927-05-22,"June 25, 2014",,,,,,,,,
,,Abdul Sattar,Abdul Sattar,1931, (aged 88),,,,,,,,,"Minister of Foreign Affairs,17th Foreign Secretary of Pakistan"
"Peshawar University,University of Illinois at Urbana-Champaign",,Abdullah Sadiq,,1940 (age 81–82),,,,,,,,,,
"Royal Military Academy, Sandhurst",,Abdullahi Mohammed,,1939,,,,,,,,,,"Chief of Staff to the President,National Security Adviser,Director of the National Security Organisation,Governor of Benue-Plateau State,Military service"
,,Abdullah Rimawi,,1920,5 March 1980,,,,,,,,,"Minister of State for Foreign Affairs,Regional Secretary of the Regional Command of the Jordanese Regional Branch,Member of the National Command of the Arab Socialist Ba'ath Party,Member of the Regional Command of the Jordanese Regional Branch"
"Raffles Institution,University of Singapore,University of London",,Abdullah Tarmugi,,1944-08-25,,,,,,,,,,"7th Speaker of the Parliament of Singapore,Member of the Singapore Parliamentfor East Coast GRC(Siglap),Member of the Singapore Parliamentfor Bedok GRC(Siglap),Member of the Singapore Parliamentfor Siglap SMC"
,,Abdullahi Shelleng,,1942-01-20,,,,,,,,,,"Military Governor of Benue State,Commandant, Nigerian Defence Academy,Military service"
,,Abdulmumini M. Hassan Zareku,,,,,,,,,,,,Senator for Jigawa South West
,,Abdullahi Sarki Mukhtar,,1949-07-05,,,,,,,,,,"National Security Adviser,Governor of Kaduna State,Governor of Katsina State,Military service"
University of Calcutta,,Abdus Sattar,আব্দুস সাত্তার,1906-03-01,5 October 1985,,,,,,,,,"President of Bangladesh,2nd Vice President of Bangladesh,Chairman of Bangladesh Nationalist Party,6th Interior Minister of Pakistan"
,,Abdulrahman Gimba,,16 June 1945,,,,,,,,,,Federal Minister of Sports
Columbus School of Law,,Abe Brault,Adelard Lionel Brault,1909-04-06,"February 13, 2007",Clarice Louise Covington,,,,,,,,"Member of the Virginia Senatefrom the 34th district,Member of the Virginia Senatefrom the 24th district,Military service"
"Rhodes College,Yale University","BA,LLB",Abe Fortas,Abraham Fortas,1910-06-19,"April 5, 1982",Carolyn Agger,,,,,,,,"Associate Justice of the Supreme Court of the United States,Military service"
,,Abe Deutschendorf,,"February 12, 1935","December 23, 2012",,,,,,,"educator, politician",,Member of the Oklahoma House of Representativesfrom the 62nd district
University of Utah,,Orrice Abram Murdock Jr.,Orrice Abram Murdock Jr.,1893-07-18,"September 15, 1979",Mary Violet Yardley Murdock,,,William Orrice Murdock,,,,,"United States Senatorfrom Utah,Member of the U.S. House of Representatives
from Utah's 1st district"
"Universidade Federal do Rio de Janeiro,Massachusetts Institute of Technology",,Abel Klein,,1945-01-16,,,,,Ezra Klein,,,,,
College of New Jersey,,Abel Upshur,Abel Parker Upshur,1790-06-17,"February 28, 1844",Elizabeth Dennis (Deceased 1817),,,,,,,,"15th United States Secretary of State,13th United States Secretary of the Navy,Member of the Virginia House of Delegatesfrom the Northampton County, Virginia district"
California Polytechnic State University,,Abel Maldonado,,1967-08-21,,Laura Maldonado,,,,,,,,"48th Lieutenant Governor of California,Member of the California Senatefrom the 15th district,Member of the California State Assemblyfrom the 33rd district,Mayor of Santa Maria"
,,Abeid Karume ,,1905-08-04,7 April 1972,,,,"Amani Karume,Ali Karume",,,,,"1st President of Zanzibar,1st Vice President of Tanzania,President of People's Republic of Zanzibar and Pemba"
University of Kent,"BA,MA",Abena Oppong-Asare,Abena Oppong-Asare,1983-02-08,,,,,,,,Politician,,"Shadow Exchequer Secretary to the Treasury,Member of Parliament for Erith and Thamesmead"
"University of Texas, Austin,University of Chicago",,Abhay Vasant Ashtekar,,1949-07-05,,,,,,,,,,
,,Raja Abhay Pratap Singh,,1936-12-07,7 August 2013,Asha Kumari,Ajit Pratap Singh,,Anil Pratap Singh,,,,,"Member of Parliament, Lok Sabha"
Jadavpur University,BE,Abhijit Mukherjee,,1960-01-02,,,"Pranab Mukherjee,Suvra Mukherjee",,,,,Chartered Engineer & Social Worker,,"Member of the Parliament, Lok Sabha,Member of the West Bengal Legislative Assembly"
,,Abid Mutlak al-Jubouri,,,,,,,,,,,,Deputy Prime Minister
"University of Oxford,University of Oslo,University of Southampton",,Abid Raja,,1975-11-05,,Nadia Ansar,,,Maya,,,Politician,,"Second Deputy Leader of the Liberal Party,Minister of Culture, Sports and Equality,Fifth Vice President of the Storting,Member of the Storting"
Harvard University,,Abiel Foster,,1735-08-08,"February 6, 1806",Hannah Badger Foster,,,8,,,,,"Member of the 4th Congress of the Confederation from New Hampshire,Member of the 5th Congress of the Confederation from New Hampshire,Judge of the Court of Common Pleas from New Hampshire (Rockingham County),Member of the U.S. House of Representatives from New Hampshire's At-large district (Seat 1),Member of the New Hampshire Senate,President of the New Hampshire Senate,Member of the U.S. House of Representatives from New Hampshire's At-large district (Seat 4)"
"Washington University,University of Chicago","BA,JD",Abner Mikva,Abner Joseph Mikva,1926-01-21,"July 4, 2016",,,,,,,,,"White House Counsel,Chief Judge of the United States Court of Appeals for the District of Columbia Circuit,Judge of the United States Court of Appeals for the District of Columbia Circuit,Member of the U.S. House of Representativesfrom Illinois's 10th district,Member of the U.S. House of Representativesfrom Illinois's 2nd district"
,,Abner Lacock,,1770-07-09,"April 12, 1837",,,,,,,,,"United States Senatorfrom Pennsylvania,Member of the U.S. House of Representativesfrom Pennsylvania's 11th district,Member of the Pennsylvania Senate,Member of the Pennsylvania State Legislature"
,,Abner Coburn,,1803-03-22,"January 4, 1885",,,,,,,,,"30th Governor of Maine,Member of the Maine House of Representatives"
"University of Toronto,University of California, San Diego",,Abigail Sellen,Abigail Jane Sellen,,,,,,,,,,,
,,Abner Nash,,1740-08-08,"December 2, 1786",,,,,,,,,2nd Governor of North Carolina
,,Abijah Gilbert,,1806-06-18,"November 23, 1881",,,,,,,,,United States Senatorfrom Florida
,,Abiram Chamberlain,,"December 7, 1837","May 15, 1911 (aged 73)",Charlotte E. Roberts,,,Albert R Chamberlain,,,,,"60th Governor of Connecticut,Comptroller of Connecticut,Member of the Connecticut House of Representatives"
Dartmouth College,,Abijah Bigelow,,1775-12-05,"April 5, 1860",,,,,,,,,"Member of the U.S. House of Representativesfrom Massachusetts's 11th district,Member of the Massachusetts House of Representatives"
"The Latin School of Chicago,The Ethel Walker School",The Ethel Walker School,Abra Prentice Wilkin,,1942-07-30,,Jon Anderson & James Wilkin,John Rockefeller Prentice,,"3, two daughters and a son",,,,,
,,Abner Taylor,,1829-01-19,"April 13, 1903",,,,,,,,,"Member of the U.S. House of Representativesfrom Illinois's 1st district,Member of the Illinois House of Representatives"
,,Abolhassan Banisadr,,1933-03-22,9 October 2021,Ozra Hosseini,,,3,,,,,"1st President of Iran,Head of Council of the Islamic Revolution,Minister of Foreign AffairsActing,Minister of Finance,Member of the Assembly of Experts for Constitution"
,,Abraham Bedford Venable,,1758-11-20,"December 26, 1811",,,,,,,,,"United States Senatorfrom Virginia,Member of the Virginia House of Delegates from Prince Edward County,Member of the U.S. House of Representativesfrom Virginia's 7th district,Member of the U.S. House of Representativesfrom Virginia's 6th district"
University of Chicago,,A. A. Albert,,1905-11-09,"June 6, 1972",,,,,,,,,
Union College,,Abraham B. Gardner,,1819-09-02,"November 23, 1881",Mary Jeannette Swift Gardner (b. 1849),,,3,,,,,"25th Lieutenant Governor of Vermont,Member of the Vermont Senate from Bennington County,Speaker of the Vermont House of Representatives,Member of the Vermont House of Representatives from Bennington,State's Attorney of Bennington County, Vermont"
Yale College,,Abraham Baldwin,,"November 22, 1754","March 4, 1807",,,,,,,,,"President pro tempore of the United States Senate,United States Senatorfrom Georgia,Member of the U.S. House of Representativesfrom Georgia's at-large district,Member of the U.S. House of Representativesfrom Georgia's 2nd district,President of the University of Georgia,Delegate from Georgia to the Congress of the Confederation"
"Mercer University,Walter F. George School of Law","A.B.,LL.B.",Abraham Benjamin Conger,Abraham Benjamin Conger,1887-07-14,"December 9, 1953",,,,,,,"Politician, judge",,Judge of the United States District Court for the Middle District of Georgia
Union College,,Abraham Bockee,,"February 3, 1784","June 1, 1865",Martha Oakley Bockee,,,"Catharine Jerusha Bockee Flint
",,,,,"Member of the U.S. House of Representativesfrom New York's 5th district,Member of the U.S. House of Representativesfrom New York's 5th district,Member of the New York State Assembly"
,,Abraham Bruyn Hasbrouck,,"November 29, 1791","February 23, 1879",Julia Frances Ludlum,,,2,,,,,"6th President of Rutgers University,Member of the U.S. House of Representativesfrom New York's 7th district"
,,Abraham Clark,,1726-02-15,"September 15, 1794",,,,,,,,,Member of the U.S. House of Representativesfrom New Jersey's at-large district
University of Marburg,,Abraham Fraenkel,,1891-02-17,"October 15, 1965",,,,,,,,,
"Freiberg Academy of Mining,University of Leipzig",,Abraham Gottlob Werner,,25 September 1749,30 June 1817,,,,,,,,,
,,Abraham Gouverneur,,1671,"June 16, 1740",Mary Leisler,Nicolas Gouverneur,,,,,,,"Recorder of New York City,Speaker of the New York General Assembly"
"City College of New York,Brooklyn Law School",,Abraham J. Multer,,1900-12-24,"November 4, 1986",Bertha Leff,,,2,,,"Lawyer,politician",,"Member of theU.S. House of Representativesfrom New York,Judge of the New York Supreme Courtfor the Second District"
University of Leipzig,,Abraham Gotthelf Kästner,,1719-09-27,20 June 1800,,,,,,,,,
,,Abraham Kurkindolle Allison,,"December 10, 1814","July 8, 1893","Mary Jane Nathans (1822-1850)
Elizabeth Susan Coleman (1838-1895)",,,,,,,,"6th Governor of Florida,Member of the Florida House of Representatives"
"Leiden University,Bachelor of Theology,Master of Theology,Doctor of Theology,Doctor of Philosophy","Doctor of Theology,Master of Theology,Doctor of Philosophy",Abraham Kuyper,Abraham Kuijper,1837-10-29,8 November 1920,Johanna Hendrika Schaay,,,Herman Kuyper (1864–1945) ,,,"Politician,Minister,Theologian,Historian,Journalist,Author,Academic administrator,Professor",,"Prime Minister of the Netherlands,Member of the Senate,Minister of the Interior,Parliamentary leader in the  House of Representatives,Leader of the Anti-Revolutionary Party,Chairman of the Anti-Revolutionary Party,Member of the House of Representatives"
,,Abraham Luya,Abraham Fleetwood Luya,1837,6 July 1899 (Aged 61 or 62),Eliza Clare Petrie (m.1857 d.1923),,,,,,"Sawmiller,Company director",,Member of the Queensland Legislative Assemblyfor Brisbane South
,,Abraham McClellan,,,,,,,,,,,,State Treasurer of Missouri
,,Abraham McClellan,,1789-10-04,"May 3, 1866",,,,,,,,,"Member of the U.S. House of Representativesfrom Tennessee's 2nd district,Member of the Tennessee Senate,Member of the Tennessee House of Representatives,Military service"
Temple University Beasley School of Law,LLB,Abraham Lincoln Freedman,Abraham Lincoln Freedman,1904-11-19,"March 13, 1971",,,,,,,,,"Judge of the United States Court of Appeals for the Third Circuit,Judge of the United States District Court for the Eastern District of Pennsylvania"
University of Wisconsin–Madison,,Abraham Maslow,Abraham Harold Maslow,"April 1, 1908","June 8, 1970",Bertha Goodman Maslow,,,Ann Maslow,,,,,
Yale College,,Abraham Nott,,1768-02-05,"June 19, 1830",,,,,,,"attorney,judge",,"Intendant of Columbia, South Carolina,Member of the U.S. House of Representativesfrom South Carolina's 6th district,Member of the South Carolina House of Representatives"
Hebrew University of Jerusalem,,Abraham Neyman,,1949-06-14,,,,,,,,,,
,,Abraham O. Smoot,Abraham Owen Smoot,1815-02-17,"March 6, 1895",Margaret Thompson McMeans ,,,24 (biological),,,,,
University of Sydney,"BA,PGDE",Abraham Shek,Razack Ebrahim Abdul,1945-06-24,,Lisa Har,,,,,,Company Director,,Member of the Legislative Council
,,Abraham Samuel Goldstein,,1925-07-27,"August 20, 2005",,,,,,,"Professor, Dean",,
"Hebrew University,University of London",,Abraham Robinson,,1918-10-06,"April 11, 1974",,,,,,,,,
"Johns Hopkins University,University of Maryland",,Abraham Seidenberg,,1916-06-02,"May 3, 1988",,,,,,,,,
,,Abraham Shepherd,,1776-08-13,"January 16, 1847","
",,,twelve,,,,,"Speaker of the Ohio Senate,Speaker of the Ohio House of Representatives,Military service"
University of Sydney,"BA,PGDE",Abraham Shek,Razack Ebrahim Abdul,1945-06-24,,Lisa Har,,,,,,Company Director,,Member of the Legislative Council
"University of Chicago,Princeton University",,Abraham Taub,,1911-02-01,"August 9, 1999",,,,,,,,,
,,Abraham Van Vorhes,,1793-12-02,"January 24, 1879",,,,"Nelson H. Van Vorhes,Andrew J. Van Vorhes",,,"Gunsmith, politician, postmaster, mechanic, newspaper editor/publisher, surveyor, justice",,"Member of the Minnesota Territorial House of Representativesfrom the 1st district,Member of the Ohio Senate from Athens County,Member of the Ohio House of Representatives from Athens County,Military service"
"King Ferdinand I University,University of Vienna",,Abraham Wald,,1902-10-31,"December 13, 1950",,,,Robert Wald,,,,,
,,Abram A. Hammond,,"March 21, 1814","August 27, 1874",,,,,,,,,"13th Lieutenant Governor of Indiana,12th Governor of Indiana"
St Petersburg University,,A. S. Besicovitch,Abram Samoilovitch Besicovitch,1891-01-23,2 November 1970,,,,,,,,,
Columbia College,,Abram Hewitt,Abram Stevens Hewitt,1822-07-31,"January 18, 1903",,,,,,,,,"Member of the U.S. House of Representativesfrom New York's 10th district,Chairman of the Democratic National Committee,Member of the U.S. House of Representativesfrom New York's 10th district,87th Mayor of New York City"
,,Abram I. Elkus,,1867-08-06,"October 15, 1947",Gertrude R. Hess,,,,,,"Lawyer, diplomat",,5th United States Ambassador to the Ottoman Empire
,,Abram Orpen Moriarty,,1830,22 May 1918,Harriett Christiana Powell (1856-1893),Merion Moriarty,,,,,Engineer,,
"Tomsk University,Moscow University",,Abram Fet,,1924-12-05,30 July 2007,,,,,,,,,
